"5116.10271,-0.22843"
"5115.13850,-0.22847"
"5114.17429,-0.22843"
"5113.21008,-0.22813"
"5112.24587,-0.22777"
"5111.28166,-0.22765"
"5110.31745,-0.22780"
"5109.35324,-0.22792"
"5108.38903,-0.22787"
"5107.42482,-0.22785"
"5106.46061,-0.22798"
"5105.49640,-0.22801"
"5104.53218,-0.22789"
"5103.56797,-0.22792"
"5102.60376,-0.22815"
"5101.63955,-0.22836"
"5100.67534,-0.22844"
"5099.71113,-0.22837"
"5098.74692,-0.22814"
"5097.78271,-0.22790"
"5096.81850,-0.22778"
"5095.85429,-0.22796"
"5094.89008,-0.22837"
"5093.92587,-0.22852"
"5092.96165,-0.22836"
"5091.99744,-0.22818"
"5091.03323,-0.22810"
"5090.06902,-0.22798"
"5089.10481,-0.22778"
"5088.14060,-0.22756"
"5087.17639,-0.22741"
"5086.21218,-0.22746"
"5085.24797,-0.22772"
"5084.28376,-0.22801"
"5083.31955,-0.22816"
"5082.35534,-0.22804"
"5081.39112,-0.22773"
"5080.42691,-0.22746"
"5079.46270,-0.22735"
"5078.49849,-0.22741"
"5077.53428,-0.22766"
"5076.57007,-0.22789"
"5075.60586,-0.22788"
"5074.64165,-0.22774"
"5073.67744,-0.22767"
"5072.71323,-0.22771"
"5071.74902,-0.22772"
"5070.78481,-0.22767"
"5069.82059,-0.22761"
"5068.85638,-0.22765"
"5067.89217,-0.22781"
"5066.92796,-0.22798"
"5065.96375,-0.22792"
"5064.99954,-0.22768"
"5064.03533,-0.22751"
"5063.07112,-0.22745"
"5062.10691,-0.22748"
"5061.14270,-0.22770"
"5060.17849,-0.22803"
"5059.21428,-0.22829"
"5058.25006,-0.22835"
"5057.28585,-0.22820"
"5056.32164,-0.22809"
"5055.35743,-0.22816"
"5054.39322,-0.22822"
"5053.42901,-0.22811"
"5052.46480,-0.22794"
"5051.50059,-0.22790"
"5050.53638,-0.22803"
"5049.57217,-0.22823"
"5048.60796,-0.22833"
"5047.64374,-0.22824"
"5046.67953,-0.22808"
"5045.71532,-0.22801"
"5044.75111,-0.22799"
"5043.78690,-0.22787"
"5042.82269,-0.22763"
"5041.85848,-0.22743"
"5040.89427,-0.22744"
"5039.93006,-0.22762"
"5038.96585,-0.22772"
"5038.00164,-0.22761"
"5037.03743,-0.22744"
"5036.07321,-0.22751"
"5035.10900,-0.22784"
"5034.14479,-0.22814"
"5033.18058,-0.22826"
"5032.21637,-0.22824"
"5031.25216,-0.22817"
"5030.28795,-0.22801"
"5029.32374,-0.22777"
"5028.35953,-0.22764"
"5027.39532,-0.22763"
"5026.43111,-0.22754"
"5025.46690,-0.22735"
"5024.50268,-0.22729"
"5023.53847,-0.22740"
"5022.57426,-0.22749"
"5021.61005,-0.22757"
"5020.64584,-0.22769"
"5019.68163,-0.22786"
"5018.71742,-0.22805"
"5017.75321,-0.22815"
"5016.78900,-0.22814"
"5015.82479,-0.22814"
"5014.86058,-0.22824"
"5013.89637,-0.22830"
"5012.93215,-0.22819"
"5011.96794,-0.22796"
"5011.00373,-0.22778"
"5010.03952,-0.22773"
"5009.07531,-0.22786"
"5008.11110,-0.22811"
"5007.14689,-0.22821"
"5006.18268,-0.22793"
"5005.21847,-0.22751"
"5004.25426,-0.22732"
"5003.29005,-0.22747"
"5002.32584,-0.22785"
"5001.36162,-0.22822"
"5000.39741,-0.22843"
"4999.43320,-0.22830"
"4998.46899,-0.22841"
"4997.50478,-0.22832"
"4996.54057,-0.22823"
"4995.57636,-0.22825"
"4994.61215,-0.22820"
"4993.64794,-0.22801"
"4992.68373,-0.22780"
"4991.71952,-0.22784"
"4990.75531,-0.22810"
"4989.79109,-0.22816"
"4988.82688,-0.22794"
"4987.86267,-0.22779"
"4986.89846,-0.22781"
"4985.93425,-0.22788"
"4984.97004,-0.22799"
"4984.00583,-0.22799"
"4983.04162,-0.22776"
"4982.07741,-0.22763"
"4981.11320,-0.22784"
"4980.14899,-0.22810"
"4979.18478,-0.22809"
"4978.22056,-0.22778"
"4977.25635,-0.22748"
"4976.29214,-0.22745"
"4975.32793,-0.22765"
"4974.36372,-0.22788"
"4973.39951,-0.22789"
"4972.43530,-0.22773"
"4971.47109,-0.22766"
"4970.50688,-0.22765"
"4969.54267,-0.22747"
"4968.57846,-0.22734"
"4967.61425,-0.22757"
"4966.65003,-0.22788"
"4965.68582,-0.22796"
"4964.72161,-0.22799"
"4963.75740,-0.22814"
"4962.79319,-0.22842"
"4961.82898,-0.22857"
"4960.86477,-0.22841"
"4959.90056,-0.22811"
"4958.93635,-0.22791"
"4957.97214,-0.22776"
"4957.00793,-0.22774"
"4956.04372,-0.22799"
"4955.07950,-0.22840"
"4954.11529,-0.22867"
"4953.15108,-0.22865"
"4952.18687,-0.22848"
"4951.22266,-0.22836"
"4950.25845,-0.22836"
"4949.29424,-0.22833"
"4948.33003,-0.22820"
"4947.36582,-0.22815"
"4946.40161,-0.22822"
"4945.43740,-0.22821"
"4944.47319,-0.22805"
"4943.50897,-0.22788"
"4942.54476,-0.22782"
"4941.58055,-0.22796"
"4940.61634,-0.22817"
"4939.65213,-0.22822"
"4938.68792,-0.22817"
"4937.72371,-0.22830"
"4936.75950,-0.22851"
"4935.79529,-0.22847"
"4934.83108,-0.22834"
"4933.86687,-0.22830"
"4932.90266,-0.22816"
"4931.93844,-0.22800"
"4930.97423,-0.22801"
"4930.01002,-0.22804"
"4929.04581,-0.22794"
"4928.08160,-0.22777"
"4927.11739,-0.22770"
"4926.15318,-0.22793"
"4925.18897,-0.22826"
"4924.22476,-0.22840"
"4923.26055,-0.22835"
"4922.29634,-0.22821"
"4921.33213,-0.22799"
"4920.36791,-0.22783"
"4919.40370,-0.22780"
"4918.43949,-0.22780"
"4917.47528,-0.22780"
"4916.51107,-0.22776"
"4915.54686,-0.22773"
"4914.58265,-0.22776"
"4913.61844,-0.22780"
"4912.65423,-0.22785"
"4911.69002,-0.22794"
"4910.72581,-0.22808"
"4909.76159,-0.22820"
"4908.79738,-0.22827"
"4907.83317,-0.22830"
"4906.86896,-0.22834"
"4905.90475,-0.22844"
"4904.94054,-0.22853"
"4903.97633,-0.22851"
"4903.01212,-0.22843"
"4902.04791,-0.22832"
"4901.08370,-0.22822"
"4900.11949,-0.22815"
"4899.15528,-0.22797"
"4898.19106,-0.22773"
"4897.22685,-0.22773"
