X;Y
1601,902;1342,42
1604,586;1347,75
1607,269;1340,08
1609,95;1357,42
1612,629;1345,75
1615,307;1347,75
1617,982;1357,08
1620,656;1352,08
1623,328;1351,75
1625,998;1353,75
1628,666;1357,42
1631,333;1350,42
1633,997;1351,75
1636,66;1357,42
1639,321;1357,08
1641,981;1351,75
1644,638;1356,75
1647,294;1361,75
1649,948;1356,08
1652,6;1361,75
1655,25;1361,42
1657,899;1348,75
1660,545;1364,75
1663,19;1357,42
1665,834;1364,75
1668,475;1357,75
1671,115;1362,75
1673,752;1362,75
1676,389;1366,42
1679,023;1360,08
1681,655;1359,42
1684,286;1359,75
1686,915;1364,08
1689,542;1364,42
1692,168;1357,42
1694,791;1361,75
1697,413;1354,08
1700,033;1359,08
1702,652;1365,75
1705,269;1365,08
1707,883;1356,75
1710,497;1355,08
1713,108;1363,08
1715,717;1356,42
1718,325;1364,08
1720,931;1358,08
1723,536;1360,08
1726,138;1358,08
1728,739;1354,08
1731,338;1359,75
1733,936;1360,75
1736,531;1355,75
1739,125;1365,75
1741,718;1355,75
1744,308;1355,75
1746,897;1359,42
1749,484;1355,75
1752,069;1361,08
1754,652;1368,42
1757,234;1359,08
1759,814;1366,75
1762,392;1359,42
1764,969;1361,75
1767,544;1359,75
1770,117;1365,42
1772,689;1359,08
1775,258;1364,42
1777,826;1363,75
1780,393;1365,08
1782,957;1361,42
1785,52;1363,08
1788,081;1359,08
1790,641;1363,75
1793,198;1361,08
1795,754;1360,42
1798,309;1366,08
1800,861;1365,42
1803,412;1357,08
1805,961;1365,08
1808,509;1354,75
1811,055;1365,08
1813,599;1353,08
1816,141;1364,08
1818,682;1359,42
1821,221;1357,75
1823,759;1364,08
1826,294;1360,08
1828,828;1366,08
1831,361;1362,42
1833,891;1362,42
1836,42;1361,42
1838,947;1365,42
1841,473;1364,08
1843,997;1366,42
1846,519;1363,42
1849,04;1364,42
1851,559;1365,75
1854,076;1361,08
1856,591;1364,42
1859,105;1367,75
1861,617;1365,08
1864,128;1372,75
1866,637;1369,75
1869,144;1367,08
1871,65;1372,75
1874,154;1366,75
1876,656;1358,42
1879,156;1366,42
1881,655;1366,08
1884,153;1371,08
1886,648;1368,42
1889,142;1368,42
1891,635;1369,08
1894,125;1368,08
1896,614;1367,42
1899,102;1365,08
1901,587;1372,42
1904,071;1356,75
1906,554;1371,42
1909,035;1371,75
1911,514;1367,08
1913,991;1365,42
1916,467;1366,75
1918,942;1365,42
1921,414;1374,42
1923,885;1368,08
1926,355;1364,08
1928,822;1362,42
1931,289;1370,75
1933,753;1368,08
1936,216;1368,75
1938,677;1371,75
1941,137;1374,42
1943,595;1363,08
1946,051;1376,08
1948,506;1374,08
1950,959;1370,08
1953,411;1373,75
1955,861;1375,08
1958,309;1372,75
1960,756;1372,42
1963,201;1376,75
1965,644;1373,42
1968,086;1376,75
1970,526;1370,75
1972,965;1370,08
1975,402;1375,08
1977,838;1373,08
1980,272;1373,42
1982,704;1376,75
1985,135;1375,75
1987,564;1377,42
1989,991;1382,08
1992,417;1377,75
1994,841;1379,08
1997,264;1378,08
1999,685;1383,75
2002,105;1376,08
2004,523;1380,75
2006,939;1382,42
2009,354;1376,42
2011,767;1384,75
2014,179;1382,75
2016,589;1381,08
2018,997;1382,75
2021,404;1375,42
2023,81;1382,75
2026,213;1381,08
2028,616;1384,08
2031,016;1380,75
2033,415;1380,75
2035,813;1382,42
2038,209;1380,08
2040,603;1381,75
2042,996;1389,75
2045,387;1386,42
2047,777;1386,08
2050,165;1383,42
2052,551;1387,42
2054,936;1382,75
2057,32;1385,08
2059,702;1383,08
2062,082;1385,08
2064,461;1384,75
2066,838;1387,42
2069,214;1385,75
2071,588;1377,42
2073,96;1381,08
2076,331;1389,75
2078,701;1390,08
2081,069;1386,75
2083,435;1384,08
2085,8;1391,75
2088,163;1382,75
2090,525;1389,42
2092,886;1391,08
2095,244;1392,75
2097,601;1388,08
2099,957;1392,42
2102,311;1390,42
2104,664;1393,42
2107,015;1387,08
2109,364;1385,08
2111,712;1396,42
2114,059;1396,75
2116,404;1397,42
2118,747;1392,42
2121,089;1397,75
2123,43;1391,75
2125,769;1391,75
2128,106;1388,75
2130,442;1393,42
2132,776;1394,08
2135,109;1396,08
2137,44;1397,08
2139,77;1400,42
2142,098;1400,42
2144,425;1399,42
2146,75;1392,42
2149,074;1395,42
2151,397;1395,75
2153,717;1399,75
2156,037;1398,75
2158,354;1396,42
2160,671;1403,08
2162,985;1401,08
2165,299;1397,75
2167,61;1395,42
2169,921;1400,42
2172,23;1407,75
2174,537;1400,08
2176,843;1399,75
2179,147;1400,42
2181,45;1401,08
2183,751;1401,75
2186,051;1408,42
2188,349;1399,75
2190,646;1405,08
2192,942;1402,75
2195,236;1403,42
2197,528;1410,08
2199,819;1404,42
2202,109;1411,42
2204,397;1407,75
2206,683;1404,42
2208,968;1405,08
2211,252;1406,42
2213,534;1401,42
2215,815;1405,75
2218,094;1413,42
2220,372;1400,75
2222,648;1408,08
2224,923;1400,08
2227,196;1409,75
2229,468;1411,75
2231,738;1410,75
2234,007;1407,42
2236,275;1408,42
2238,541;1408,42
2240,806;1404,75
2243,069;1409,42
2245,33;1411,42
2247,591;1408,42
2249,849;1411,42
2252,107;1419,75
2254,363;1413,42
2256,617;1415,75
2258,87;1411,75
2261,122;1405,42
2263,372;1413,42
2265,62;1413,08
2267,868;1410,42
2270,113;1413,75
2272,358;1409,75
2274,601;1407,42
2276,842;1419,75
2279,082;1408,42
2281,321;1415,08
2283,558;1419,75
2285,794;1418,42
2288,028;1416,75
2290,261;1414,08
2292,492;1412,75
2294,722;1415,75
2296,951;1418,08
2299,178;1419,08
2301,404;1415,42
2303,628;1414,75
2305,851;1414,08
2308,072;1409,42
2310,292;1423,42
2312,511;1420,08
2314,728;1418,08
2316,944;1417,08
2319,159;1417,08
2321,372;1418,75
2323,583;1417,08
2325,793;1416,75
2328,002;1417,42
2330,209;1415,08
2332,415;1412,75
2334,62;1419,42
2336,823;1420,42
2339,025;1421,08
2341,225;1424,75
2343,424;1418,08
2345,621;1420,75
2347,817;1423,42
2350,012;1419,42
2352,206;1423,42
2354,397;1426,75
2356,588;1424,42
2358,777;1423,08
2360,965;1426,42
2363,151;1429,75
2365,336;1425,42
2367,52;1426,75
2369,702;1428,08
2371,883;1426,75
2374,062;1430,08
2376,24;1426,08
2378,417;1426,08
2380,592;1429,75
2382,766;1428,42
2384,938;1432,08
2387,11;1426,75
2389,279;1430,08
2391,448;1428,42
2393,615;1434,75
2395,78;1431,42
2397,944;1431,08
2400,107;1432,08
2402,269;1426,75
2404,429;1433,08
2406,588;1435,08
2408,745;1437,75
2410,901;1435,42
2413,056;1434,75
2415,209;1433,42
2417,361;1437,42
2419,512;1433,08
2421,661;1425,08
2423,809;1435,42
2425,955;1435,08
2428,1;1433,42
2430,244;1429,42
2432,386;1435,08
2434,527;1437,42
2436,667;1435,42
2438,806;1442,75
2440,943;1437,08
2443,078;1440,08
2445,213;1442,75
2447,345;1436,42
2449,477;1437,42
