"X","Y"
"1772.689","455.67"
"1775.258","451"
"1777.826","458.67"
"1780.393","455.67"
"1782.957","470"
"1785.52","461.67"
"1788.081","448"
"1790.641","451.67"
"1793.198","451.33"
"1795.754","450.67"
"1798.309","454.67"
"1800.861","454.33"
"1803.412","446.33"
"1805.961","459.67"
"1808.509","448.33"
"1811.055","458"
"1813.599","442.67"
"1816.141","457.67"
"1818.682","454"
"1821.221","453.33"
"1823.759","442"
"1826.294","443.67"
"1828.828","447"
"1831.361","453.67"
"1833.891","457"
"1836.42","446"
"1838.947","449.67"
"1841.473","441.33"
"1843.997","447.67"
"1846.519","444"
"1849.04","444"
"1851.559","434"
"1854.076","452.33"
"1856.591","443"
"1859.105","433.67"
"1861.617","434"
"1864.128","444"
"1866.637","449.67"
"1869.144","435.33"
"1871.65","431"
"1874.154","444.33"
"1876.656","433.67"
"1879.156","429.33"
"1881.655","442.67"
"1884.153","426"
"1886.648","441.33"
"1889.142","431.33"
"1891.635","429"
"1894.125","429.67"
"1896.614","422.33"
"1899.102","432"
"1901.587","430.33"
"1904.071","431.67"
"1906.554","434.33"
"1909.035","428"
"1911.514","419.67"
"1913.991","422.67"
"1916.467","423.33"
"1918.942","413"
"1921.414","421.67"
"1923.885","420"
"1926.355","422.33"
"1928.822","417.33"
"1931.289","419.67"
"1933.753","410.33"
"1936.216","405.33"
"1938.677","423.67"
"1941.137","407.67"
"1943.595","416"
"1946.051","402"
"1948.506","403.67"
"1950.959","408.33"
"1953.411","406.67"
"1955.861","394"
"1958.309","392.33"
"1960.756","400"
"1963.201","397"
"1965.644","402.67"
"1968.086","400.33"
"1970.526","401.33"
"1972.965","392.67"
"1975.402","394.67"
"1977.838","407"
"1980.272","396"
"1982.704","398.67"
"1985.135","387.67"
"1987.564","394"
"1989.991","402.33"
"1992.417","392"
"1994.841","376"
"1997.264","390"
"1999.685","381"
"2002.105","397"
"2004.523","388.33"
"2006.939","387"
"2009.354","384.67"
"2011.767","385.33"
"2014.179","378.33"
"2016.589","373.33"
"2018.997","382.33"
"2021.404","368.33"
"2023.81","381.67"
"2026.213","372"
"2028.616","378.67"
"2031.016","378.67"
"2033.415","381.67"
"2035.813","364.33"
"2038.209","366"
"2040.603","386.33"
"2042.996","382"
"2045.387","362.67"
"2047.777","360.33"
"2050.165","368.33"
"2052.551","371"
"2054.936","367.67"
"2057.32","370"
"2059.702","368"
"2062.082","364.67"
"2064.461","355"
"2066.838","369.67"
"2069.214","358.67"
"2071.588","363.67"
"2073.96","364.33"
"2076.331","358.33"
"2078.701","358.33"
"2081.069","364.33"
"2083.435","359"
"2085.8","358"
"2088.163","357.33"
"2090.525","361"
"2092.886","351.33"
"2095.244","349.33"
"2097.601","349.33"
"2099.957","347"
"2102.311","350"
"2104.664","351"
"2107.015","353.33"
"2109.364","336.33"
"2111.712","344.67"
"2114.059","340.33"
"2116.404","335.67"
"2118.747","339"
"2121.089","336.33"
"2123.43","336.67"
"2125.769","338"
"2128.106","331.33"
"2130.442","327.67"
"2132.776","326.33"
"2135.109","333"
"2137.44","334"
"2139.77","343"
"2142.098","339.67"
"2144.425","328"
"2146.75","329.67"
"2149.074","331"
"2151.397","338.33"
"2153.717","333.33"
"2156.037","322.67"
"2158.354","322.33"
"2160.671","327.67"
"2162.985","322.33"
"2165.299","320.67"
"2167.61","321.67"
"2169.921","313.33"
"2172.23","314.33"
"2174.537","307.33"
"2176.843","314.67"
"2179.147","305.33"
"2181.45","312.67"
"2183.751","318.67"
"2186.051","322.33"
"2188.349","308.67"
"2190.646","306.33"
"2192.942","314.33"
"2195.236","307.33"
"2197.528","312"
"2199.819","302"
"2202.109","315.67"
"2204.397","304.33"
"2206.683","303"
"2208.968","309.33"
"2211.252","304.33"
"2213.534","305.33"
"2215.815","293.67"
"2218.094","303.67"
"2220.372","304"
"2222.648","310"
"2224.923","304.67"
"2227.196","302.33"
"2229.468","302.67"
"2231.738","291.33"
"2234.007","299"
"2236.275","296"
"2238.541","298.67"
"2240.806","285.33"
"2243.069","282"
"2245.33","296"
"2247.591","284"
"2249.849","287.33"
"2252.107","291.33"
"2254.363","290.67"
"2256.617","283"
"2258.87","280.33"
"2261.122","291"
"2263.372","283.67"
"2265.62","271.67"
