"X","Y"
"1515.024","-113.67"
"1517.768","-120.67"
"1520.51","-124.33"
"1523.249","-126.33"
"1525.988","-126.67"
"1528.724","-128.33"
"1531.458","-128.33"
"1534.191","-133"
"1536.921","-125"
"1539.65","-136.33"
"1542.377","-127.67"
"1545.102","-128"
"1547.825","-131.67"
"1550.546","-128"
"1553.266","-131"
"1555.984","-131.33"
"1558.699","-131"
"1561.413","-126"
"1564.125","-135"
"1566.836","-139"
"1569.544","-127.33"
"1572.251","-133"
"1574.955","-130"
"1577.658","-129.67"
"1580.359","-128.67"
"1583.058","-134.33"
"1585.756","-135.67"
"1588.451","-125"
"1591.145","-133.67"
"1593.837","-130.33"
"1596.527","-145.67"
"1599.215","-136.33"
"1601.902","-139.33"
"1604.586","-134"
"1607.269","-136"
"1609.95","-133"
"1612.629","-139.33"
"1615.307","-134"
"1617.982","-139"
"1620.656","-133"
"1623.328","-140"
"1625.998","-137.33"
"1628.666","-135.33"
"1631.333","-139.33"
"1633.997","-132"
"1636.66","-135"
"1639.321","-135.33"
"1641.981","-136"
"1644.638","-136"
"1647.294","-135"
"1649.948","-134.67"
"1652.6","-131"
"1655.25","-129.33"
"1657.899","-138.33"
"1660.545","-136.33"
"1663.19","-136.33"
"1665.834","-134.33"
"1668.475","-135"
"1671.115","-127.67"
"1673.752","-139"
"1676.389","-135.33"
"1679.023","-129.67"
"1681.655","-135.67"
"1684.286","-131.33"
"1686.915","-137"
"1689.542","-142.67"
"1692.168","-131.67"
"1694.791","-138"
"1697.413","-138.33"
"1700.033","-137.33"
"1702.652","-129.33"
"1705.269","-139"
"1707.883","-140"
"1710.497","-136"
"1713.108","-141"
"1715.717","-140.33"
"1718.325","-143"
"1720.931","-140.33"
"1723.536","-139.33"
"1726.138","-143.33"
"1728.739","-144.33"
"1731.338","-136"
"1733.936","-137.33"
"1736.531","-136.67"
"1739.125","-147.67"
"1741.718","-141"
"1744.308","-143"
"1746.897","-136"
"1749.484","-144.33"
"1752.069","-141.33"
"1754.652","-139.67"
"1757.234","-136.33"
"1759.814","-141"
"1762.392","-137"
"1764.969","-139"
"1767.544","-139"
"1770.117","-138.33"
"1772.689","-137.67"
"1775.258","-141"
"1777.826","-137.67"
"1780.393","-137.33"
"1782.957","-135.33"
"1785.52","-138"
"1788.081","-140.33"
"1790.641","-139"
"1793.198","-141.33"
"1795.754","-139"
"1798.309","-140.67"
"1800.861","-140.67"
"1803.412","-149"
"1805.961","-138"
"1808.509","-139.33"
"1811.055","-138"
"1813.599","-142.33"
"1816.141","-138.67"
"1818.682","-139.33"
"1821.221","-143.67"
"1823.759","-141"
"1826.294","-141.33"
"1828.828","-137.67"
"1831.361","-136.33"
"1833.891","-140"
"1836.42","-142"
"1838.947","-138"
"1841.473","-143.67"
"1843.997","-139.67"
"1846.519","-142.33"
"1849.04","-140.67"
"1851.559","-146.33"
"1854.076","-137.67"
"1856.591","-139.33"
"1859.105","-141"
"1861.617","-141"
"1864.128","-139.67"
"1866.637","-140"
"1869.144","-137"
"1871.65","-144.33"
"1874.154","-141.67"
"1876.656","-135.67"
"1879.156","-139.67"
"1881.655","-138"
"1884.153","-140.33"
"1886.648","-137.67"
"1889.142","-139.67"
"1891.635","-143"
"1894.125","-138.67"
"1896.614","-145"
"1899.102","-135.67"
"1901.587","-140"
"1904.071","-136.33"
"1906.554","-130"
"1909.035","-141.33"
"1911.514","-142.67"
"1913.991","-138.67"
"1916.467","-143.33"
"1918.942","-140.33"
"1921.414","-142"
"1923.885","-140.33"
"1926.355","-139.33"
"1928.822","-138.67"
"1931.289","-139.33"
"1933.753","-137"
"1936.216","-140.67"
"1938.677","-129.67"
"1941.137","-137.33"
"1943.595","-133.67"
"1946.051","-135"
"1948.506","-140"
"1950.959","-132.33"
"1953.411","-134.67"
"1955.861","-142.33"
"1958.309","-136.33"
"1960.756","-140.33"
"1963.201","-142"
"1965.644","-132"
"1968.086","-142.67"
"1970.526","-136.33"
"1972.965","-138"
"1975.402","-133.67"
"1977.838","-129"
"1980.272","-133.67"
"1982.704","-131.33"
"1985.135","-138"
"1987.564","-138"
"1989.991","-133.33"
"1992.417","-138.33"
"1994.841","-145.33"
"1997.264","-131"
"1999.685","-139.67"
"2002.105","-129.33"
"2004.523","-138.33"
"2006.939","-135.33"
"2009.354","-129"
"2011.767","-134.67"
"2014.179","-139"
"2016.589","-130"
"2018.997","-130.33"
"2021.404","-137"
"2023.81","-133.33"
"2026.213","-130.33"
"2028.616","-131"
"2031.016","-130.67"
"2033.415","-129.67"
"2035.813","-137.67"
"2038.209","-139"
"2040.603","-131.33"
"2042.996","-129.33"
"2045.387","-137"
"2047.777","-129.67"
"2050.165","-129"
"2052.551","-129.67"
"2054.936","-141.33"
"2057.32","-126.33"
"2059.702","-133.67"
"2062.082","-130.67"
"2064.461","-131.33"
"2066.838","-127"
"2069.214","-133.67"
"2071.588","-130"
"2073.96","-136.33"
"2076.331","-131.33"
"2078.701","-135.33"
"2081.069","-130"
"2083.435","-135.67"
"2085.8","-127.33"
"2088.163","-131.33"
"2090.525","-129"
"2092.886","-128.33"
"2095.244","-128.33"
"2097.601","-127.33"
"2099.957","-130"
"2102.311","-124.33"
"2104.664","-126.67"
"2107.015","-129.33"
"2109.364","-128.33"
"2111.712","-125.33"
"2114.059","-126.67"
"2116.404","-125"
"2118.747","-132"
"2121.089","-124"
"2123.43","-125.67"
"2125.769","-124.33"
"2128.106","-124.67"
"2130.442","-131.33"
"2132.776","-125"
"2135.109","-128"
"2137.44","-123"
"2139.77","-121.67"
"2142.098","-123"
"2144.425","-126"
"2146.75","-122.67"
"2149.074","-122.33"
"2151.397","-125.67"
"2153.717","-126.33"
"2156.037","-124.33"
"2158.354","-129.67"
"2160.671","-125.67"
"2162.985","-121.33"
"2165.299","-125.67"
"2167.61","-123.67"
"2169.921","-124.67"
"2172.23","-119"
"2174.537","-120.33"
"2176.843","-117.67"
"2179.147","-119"
"2181.45","-119.33"
"2183.751","-114"
"2186.051","-117"
"2188.349","-118"
"2190.646","-116.67"
"2192.942","-109.67"
"2195.236","-120"
"2197.528","-116.33"
"2199.819","-114"
"2202.109","-110.33"
"2204.397","-115"
"2206.683","-118"
"2208.968","-111"
"2211.252","-120"
"2213.534","-114"
"2215.815","-116"
"2218.094","-113"
"2220.372","-110.33"
"2222.648","-113.67"
"2224.923","-116.33"
"2227.196","-114"
"2229.468","-112.67"
"2231.738","-113.67"
"2234.007","-109.33"
"2236.275","-111"
"2238.541","-115.33"
"2240.806","-114.33"
"2243.069","-117.67"
"2245.33","-111.33"
"2247.591","-116"
"2249.849","-110.33"
"2252.107","-103.33"
"2254.363","-110.33"
"2256.617","-118"
"2258.87","-115.33"
"2261.122","-113.67"
"2263.372","-109.67"
"2265.62","-108.67"
"2267.868","-107"
"2270.113","-115.67"
"2272.358","-106.67"
"2274.601","-107"
"2276.842","-104"
"2279.082","-105.33"
"2281.321","-106.33"
"2283.558","-106.33"
"2285.794","-107"
"2288.028","-106"
"2290.261","-103"
"2292.492","-107"
"2294.722","-108.33"
"2296.951","-104"
"2299.178","-106.67"
"2301.404","-111.33"
"2303.628","-103.33"
"2305.851","-103"
"2308.072","-113"
"2310.292","-107.67"
"2312.511","-104.33"
"2314.728","-111"
"2316.944","-104.33"
"2319.159","-101.67"
"2321.372","-102.67"
"2323.583","-108"
"2325.793","-103.67"
